source	relation	target	gt	50changed	allno	allyes
0151w_	people__person__ethnicity	033tf_	1	1	-1	1
01qncf	award__award_winning_work__awards_won-award__award_honor__award	02x4sn8	1	1	-1	1
02r96rf	film__film_job__films_with_this_crew_job-film__film_crew_gig__film	07xvf	1	1	-1	1
05r5w	food__diet_follower__follows_diet	07_lq	1	1	-1	1
05r5c	music__instrument__instrumentalists	016h9b	1	1	-1	1
0qmfk	award__award_nominated_work__award_nominations-award__award_nomination__award_nominee	05hdf	1	1	-1	1
08jgk1	award__award_nominated_work__award_nominations-award__award_nomination__award_nominee	0cj2nl	1	1	-1	1
011yqc	film__film__release_date_s-film__film_regional_release_date__film_release_region	06qd3	1	1	-1	1
0bxfmk	film__film_casting_director__films_casting_directed	07tlfx	1	1	-1	1
013nws	location__hud_foreclosure_area__hhuniv-measurement_unit__dated_integer__source	0jbk9	1	1	-1	1
0gl02yg	film__film__release_date_s-film__film_regional_release_date__film_release_region	0d0vqn	1	1	-1	1
076lxv	award__award_winner__awards_won-award__award_honor__ceremony	0d__c3	1	1	-1	1
02nfjp	people__person__gender	05zppz	1	1	-1	1
02l7c8	film__film_genre__films_in_this_genre	0j_tw	1	1	-1	1
0b13g7	film__producer__films_executive_produced	07bwr	1	1	-1	1
01fh9	people__person__places_lived-people__place_lived__location	05qtj	1	1	-1	1
01lv85	tv__tv_program__tv_producer-tv__tv_producer_term__producer_type	0ckd1	1	1	-1	1
0g1rw	film__film_distributor__films_distributed-film__film_film_distributor_relationship__film	0642ykh	1	1	-1	1
02qgqt	award__award_nominee__award_nominations-award__award_nomination__award_nominee	01qqtr	1	1	-1	1
0ptx_	award__award_winning_work__awards_won-award__award_honor__ceremony	0bzjvm	1	1	-1	1
02lx0	location__location__containedby	05nrg	1	1	-1	1
0f04v	base__petbreeds__city_with_dogs__top_breeds-base__petbreeds__dog_city_relationship__dog_breed	01t032	1	1	-1	1
02hrh1q	people__profession__people_with_this_profession	06m6p7	1	1	-1	1
018ygt	film__actor__film-film__performance__film	04vr_f	1	1	-1	1
08z129	business__business_operation__industry	029g_vk	1	1	-1	1
02qx5h	people__person__profession	02hrh1q	1	1	-1	1
04xvlr	media_common__netflix_genre__titles	05dptj	1	1	-1	1
0l8z1	award__award_category__winners-award__award_honor__honored_for	011yfd	1	1	-1	1
026mfbr	film__film__other_crew-film__film_crew_gig__film_crew_role	0215hd	1	1	-1	1
0blpg	award__award_nominated_work__award_nominations-award__award_nomination__award_nominee	0cwtm	1	1	-1	1
03hzl42	people__person__places_lived-people__place_lived__location	0chghy	1	1	-1	1
02kxjx	military__military_conflict__commanders-military__military_command__military_commander	01kx1j	1	1	-1	1
03qjg	music__performance_role__regular_performances-music__group_membership__group	0134pk	1	1	-1	1
0kyk	people__profession__people_with_this_profession	01kb2j	1	1	-1	1
026m3y	common__topic__webpage-common__webpage__category	08mbj5d	1	1	-1	1
06whf	people__person__nationality	03rt9	1	1	-1	1
0340hj	film__film__genre	02kdv5l	1	1	-1	1
034xyf	film__film__film_set_decoration_by	051ysmf	1	1	-1	1
031296	award__award_winner__awards_won-award__award_honor__ceremony	0hr3c8y	1	1	-1	1
0kfv9	tv__tv_program__recurring_writers-tv__tv_program_writer_relationship__writer	04x4s2	1	1	-1	1
0170k0	media_common__adaptation__adapted_from	01d5g	1	1	-1	1
0kyk	people__profession__people_with_this_profession	03qcq	1	1	-1	1
04w391	award__award_nominee__award_nominations-award__award_nomination__award	09sb52	1	1	-1	1
0btpx	award__award_nominee__award_nominations-award__award_nomination__award	05p09zm	1	1	-1	1
03hl6lc	award__award_category__nominees-award__award_nomination__nominated_for	011yph	1	1	-1	1
0391jz	award__award_nominee__award_nominations-award__award_nomination__award_nominee	02k4b2	1	1	-1	1
0wq3z	common__topic__webpage-common__webpage__category	08mbj5d	1	1	-1	1
032w8h	people__person__profession	018gz8	1	1	-1	1
01n073	base__schemastaging__organization_extra__phone_number-base__schemastaging__phone_sandbox__contact_category	02zdwq	1	1	-1	1
02qysm0	award__award_category__nominees-award__award_nomination__nominated_for	03cwwl	1	1	-1	1
0dr_9t7	film__film__starring-film__performance__actor	01w1kyf	1	1	-1	1
06s6hs	base__popstra__celebrity__friendship-base__popstra__friendship__participant	09f0bj	1	1	-1	1
0404j37	award__award_nominated_work__award_nominations-award__award_nomination__award	04dn09n	1	1	-1	1
02dztn	people__person__spouse_s-people__marriage__type_of_union	04ztj	1	1	-1	1
01trtc	music__record_label__artist	0gy6z9	1	1	-1	1
0586wl	sports__sports_team__roster-sports__sports_team_roster__position	02nzb8	1	1	-1	1
0lsxr	film__film_genre__films_in_this_genre	01hq1	1	1	-1	1
02mx98	music__group_member__membership-music__group_membership__role	0l14md	1	1	-1	1
017vkx	people__person__profession	016z4k	1	1	-1	1
02llzg	time__time_zone__locations_in_this_time_zone	07bbc	1	1	-1	1
0tzt_	location__location__time_zones	02hcv8	1	1	-1	1
0gwlfnb	film__film__release_date_s-film__film_regional_release_date__film_release_region	0hzlz	1	1	-1	1
02bkdn	award__award_nominee__award_nominations-award__award_nomination__award	0bdx29	1	1	-1	1
01vw20_	music__group_member__instruments_played	0l14md	1	1	-1	1
0132k4	people__deceased_person__place_of_death	0rj0z	1	1	-1	1
047q2wc	award__award_winner__awards_won-award__award_honor__award_winner	0127m7	1	1	-1	1
09c7w0	location__location__contains	05cwl_	1	1	-1	1
051ys82	film__film__starring-film__performance__actor	01g23m	1	1	-1	1
06ncr	music__instrument__variation	03t22m	1	1	-1	1
03x746	soccer__football_team__current_roster-sports__sports_team_roster__position	02_j1w	-1	-1	-1	1
05qb8vx	award__award_ceremony__awards_presented-award__award_honor__honored_for	040b5k	-1	-1	-1	1
02k84w	music__performance_role__regular_performances-music__group_membership__role	011k_j	-1	-1	-1	1
0kcrd	location__location__containedby	0cyn3	-1	-1	-1	1
01c72t	people__profession__people_with_this_profession	0436kgz	-1	-1	-1	1
06t8v	olympics__olympic_participating_country__athletes-olympics__olympic_athlete_affiliation__sport	09w1n	-1	-1	-1	1
02krf9	people__profession__people_with_this_profession	036jb	-1	-1	-1	1
02j62	education__field_of_study__students_majoring-education__education__institution	01rc6f	-1	-1	-1	1
0p_th	award__award_nominated_work__award_nominations-award__award_nomination__award_nominee	05v1sb	-1	-1	-1	1
016t0h	award__award_nominee__award_nominations-award__award_nomination__award	025m8y	-1	-1	-1	1
013y1f	music__performance_role__regular_performances-music__group_membership__group	02vnpv	-1	-1	-1	1
04ztj	people__marriage_union_type__unions_of_this_type-people__marriage__spouse	01vng3b	-1	-1	-1	1
02n9nmz	award__award_category__nominees-award__award_nomination__nominated_for	02q6gfp	-1	-1	-1	1
03bmmc	organization__organization__headquarters-location__mailing_address__state_province_region	01n7q	-1	-1	-1	1
02vk52z	organization__membership_organization__members-organization__organization_membership__member	01nqj	-1	-1	-1	1
03v3xp	award__award_nominee__award_nominations-award__award_nomination__award_nominee	070w7s	-1	-1	-1	1
01fwzk	film__film__genre	06nbt	-1	-1	-1	1
0j0k	base__locations__continents__countries_within	077qn	-1	-1	-1	1
0gr0m	award__award_category__winners-award__award_honor__ceremony	03gyp30	-1	-1	-1	1
07z1m	location__statistical_region__gdp_nominal-measurement_unit__dated_money_value__currency	0ptk_	-1	-1	-1	1
05pd94v	award__award_ceremony__awards_presented-award__award_honor__award_winner	05hj_k	-1	-1	-1	1
059g4	location__location__events	0b_6v_	-1	-1	-1	1
026p4q7	award__award_winning_work__awards_won-award__award_honor__award	09qwmm	-1	-1	-1	1
01n7q	people__place_of_interment__interred_here	03mv0b	-1	-1	-1	1
01d_h8	people__profession__people_with_this_profession	07ncs0	-1	-1	-1	1
01vvpjj	music__artist__label	0fb0v	-1	-1	-1	1
0lgm5	people__person__places_lived-people__place_lived__location	0dclg	-1	-1	-1	1
06mr6	award__award_winner__awards_won-award__award_honor__honored_for	053x8hr	-1	-1	-1	1
028k57	film__writer__film	0yx1m	-1	-1	-1	1
09zzb8	film__film_job__films_with_this_crew_job-film__film_crew_gig__film	0292qb	-1	-1	-1	1
0299hs	film__film__runtime-film__film_cut__film_release_region	0jgd	-1	-1	-1	1
016ndm	education__educational_institution__students_graduates-education__education__major_field_of_study	02822	-1	-1	-1	1
07bdd_	award__award_category__nominees-award__award_nomination__award_nominee	03h_fk5	-1	-1	-1	1
01b_lz	award__award_winning_work__awards_won-award__award_honor__award_winner	0c921	-1	-1	-1	1
0d_84	film__actor__film-film__performance__film	0fh694	-1	-1	-1	1
0cqgl9	award__award_category__nominees-award__award_nomination__award_nominee	01w724	-1	-1	-1	1
0cw5k	location__administrative_division__country	0chghy	-1	-1	-1	1
086qd	award__award_nominee__award_nominations-award__award_nomination__award	02wkmx	-1	-1	-1	1
0gvvm6l	film__film__country	07ssc	-1	-1	-1	1
05r5c	music__performance_role__track_performances-music__track_contribution__contributor	01nkxvx	-1	-1	-1	1
019v9k	education__educational_degree__people_with_this_degree-education__education__institution	07vfj	-1	-1	-1	1
05g3v	sports__sports_team__roster-american_football__football_historical_roster_position__position_s	0b13yt	-1	-1	-1	1
08mbj32	common__annotation_category__annotations-common__webpage__topic	0lvng	-1	-1	-1	1
0486tv	olympics__olympic_sport__athletes-olympics__olympic_athlete_affiliation__country	0d05w3	-1	-1	-1	1
0lgxj	olympics__olympic_games__participating_countries	0f8l9c	-1	-1	-1	1
02qvdc	sports__sports_position__players-sports__sports_team_roster__team	03fnnn	-1	-1	-1	1
07c52	media_common__netflix_genre__titles	01719t	-1	-1	-1	1
044k8	award__award_winner__awards_won-award__award_honor__award	0p9sw	-1	-1	-1	1
02qr3k8	film__film__starring-film__performance__actor	016yvw	-1	-1	-1	1
02r1c18	award__award_winning_work__awards_won-award__award_honor__award_winner	01my4f	-1	-1	-1	1
03b1sb	film__film__starring-film__performance__actor	015gw6	-1	-1	-1	1
01_bkd	music__genre__artists	0134wr	-1	-1	-1	1
03_8r	olympics__olympic_sport__athletes-olympics__olympic_athlete_affiliation__country	06sw9	-1	-1	-1	1
05zvzf3	award__award_nominated_work__award_nominations-award__award_nomination__award_nominee	0jw67	-1	-1	-1	1
03lty	music__genre__artists	01wt4wc	-1	-1	-1	1
01w272y	music__group_member__membership-music__group_membership__role	0xzly	-1	-1	-1	1
02jx1	location__location__contains	022_6	-1	-1	-1	1
0cc8q3	base__marchmadness__ncaa_basketball_tournament__seeds-base__marchmadness__ncaa_tournament_seed__team	027yf83	-1	-1	-1	1
01wd02c	celebrities__celebrity__sexual_orientation-celebrities__sexual_orientation_phase__sexual_orientation	0d63kt	-1	-1	-1	1
01mxzw	business__company_type__companies_of_this_type	03mnk	-1	-1	-1	1
08j7lh	film__film__release_date_s-film__film_regional_release_date__film_release_region	09c7w0	-1	-1	-1	1
02r0csl	award__award_category__nominees-award__award_nomination__nominated_for	06823p	-1	-1	-1	1
0ctb4g	award__award_winning_work__awards_won-award__award_honor__award_winner	043kzcr	-1	-1	-1	1
02r251z	award__award_nominee__award_nominations-award__award_nomination__award	09qvc0	-1	-1	-1	1
0gkd1	music__performance_role__regular_performances-music__group_membership__group	017959	-1	-1	-1	1
07ssc	location__location__contains	06jk5_	-1	-1	-1	1
04hs7d	tv__tv_program__genre	01t_vv	-1	-1	-1	1
0294fd	award__award_nominee__award_nominations-award__award_nomination__nominated_for	0180mw	-1	-1	-1	1
0d6484	people__person__gender	02zsn	-1	-1	-1	1
05zr6wv	award__award_category__nominees-award__award_nomination__nominated_for	0g5838s	-1	-1	-1	1
09c7w0	government__governmental_jurisdiction__governing_officials-government__government_position_held__legislative_sessions	01gsrl	-1	-1	-1	1
0sx7r	user__jg__default_domain__olympic_games__sports	01dys	-1	-1	-1	1
01lvzbl	music__artist__genre	016clz	-1	-1	-1	1
047p7fr	film__film__distributors-film__film_film_distributor_relationship__distributor	03rwz3	-1	-1	-1	1
03xsby	film__film_distributor__films_distributed-film__film_film_distributor_relationship__film	0jwmp	-1	-1	-1	1
04g9gd	film__film__executive_produced_by	030_3z	-1	-1	-1	1
0c3xpwy	tv__tv_program__regular_cast-tv__regular_tv_appearance__actor	02_p5w	-1	-1	-1	1
01v_pj6	music__group_member__membership-music__group_membership__role	04rzd	-1	-1	-1	1
04vrxh	award__award_nominee__award_nominations-award__award_nomination__award	040njc	-1	-1	-1	1
05hwn	base__aareas__schema__administrative_area__administrative_parent	015fr	-1	-1	-1	1
030qb3t	film__film_location__featured_in_films	02nczh	-1	-1	-1	1
02kxbwx	people__person__spouse_s-people__marriage__type_of_union	01g63y	-1	-1	-1	1
0phrl	award__award_nominated_work__award_nominations-award__award_nomination__award	0gq_v	-1	-1	-1	1
01n44c	music__artist__genre	017_qw	-1	-1	-1	1
07szy	education__educational_institution__students_graduates-education__education__major_field_of_study	09s1f	-1	-1	-1	1
05sbv3	award__award_winning_work__awards_won-award__award_honor__award_winner	042xrr	-1	-1	-1	1
014mlp	education__educational_degree__people_with_this_degree-education__education__institution	027b43	-1	-1	-1	1
059j2	location__country__administrative_divisions	0lpp8	-1	-1	-1	1
03prz_	award__award_nominated_work__award_nominations-award__award_nomination__award	07cbcy	-1	-1	-1	1
04rtpt	film__production_company__films	01cssf	-1	-1	-1	1
04n0p	language__language_writing_system__languages	0jzc	-1	-1	-1	1
06n90	tv__tv_genre__programs	02rkkn1	-1	-1	-1	1
02p5hf	people__person__spouse_s-people__marriage__location_of_ceremony	0gx1l	-1	-1	-1	1
01tszq	film__actor__film-film__performance__film	03h3x5	-1	-1	-1	1
050r1z	film__film__distributors-film__film_film_distributor_relationship__distributor	093h7p	-1	-1	-1	1
02xb2bt	award__award_nominee__award_nominations-award__award_nomination__award_nominee	0837ql	-1	-1	-1	1
0hhtgcw	award__award_ceremony__awards_presented-award__award_honor__award_winner	05bnx3j	-1	-1	-1	1
06w6_	film__actor__film-film__performance__film	03ntbmw	-1	-1	-1	1
051_y	people__cause_of_death__people	06myp	-1	-1	-1	1
02fsn	music__performance_role__regular_performances-music__group_membership__role	07brj	-1	-1	-1	1
03k9fj	film__film_genre__films_in_this_genre	0n1s0	-1	-1	-1	1
0nj7b	location__location__adjoin_s-location__adjoining_relationship__adjoins	0mx48	-1	-1	-1	1
0421ng	film__film__distributors-film__film_film_distributor_relationship__distributor	086k8	-1	-1	-1	1
02l7c8	film__film_genre__films_in_this_genre	05sxzwc	-1	-1	-1	1
02s7tr	sports__sports_position__players-sports__sports_team_roster__team	0409n0	-1	-1	-1	1
0170z3	award__award_nominated_work__award_nominations-award__award_nomination__award	0p9sw	-1	-1	-1	1
03x6xl	soccer__football_team__current_roster-soccer__football_roster_position__position	0dgrmp	-1	-1	-1	1
017gm7	award__award_nominated_work__award_nominations-award__award_nomination__award_nominee	07fq1y	-1	-1	-1	1
0gndh	film__film__country	07ssc	-1	-1	-1	1
02krf9	people__profession__people_with_this_profession	0m68w	-1	-1	-1	1
0180w8	music__artist__genre	0155w	-1	-1	-1	1
07f_7h	film__film__release_date_s-film__film_regional_release_date__film_release_region	09c7w0	-1	-1	-1	1
03f0qd7	people__person__employment_history-business__employment_tenure__company	01skqzw	-1	-1	-1	1
0dgrmp	sports__sports_position__players-soccer__football_roster_position__team	02s9vc	-1	-1	-1	1
0jz9f	award__award_nominee__award_nominations-award__award_nomination__award	02f6ym	-1	-1	-1	1
024bbl	award__award_nominee__award_nominations-award__award_nomination__award_nominee	04m064	-1	-1	-1	1
078ym8	location__location__contains	0f8j6	-1	-1	-1	1
04ztj	people__marriage_union_type__unions_of_this_type-people__marriage__spouse	07d3z7	-1	-1	-1	1
0444x	american_football__football_player__former_teams-sports__sports_team_roster__team	057xlyq	-1	-1	-1	1
024tcq	government__legislative_session__members-government__government_position_held__legislative_sessions	03z5xd	-1	1	-1	1
09cm54	award__award_category__winners-award__award_honor__award_winner	03dbww	-1	1	-1	1
0435vm	film__film__other_crew-film__film_crew_gig__film_crew_role	02r96rf	-1	1	-1	1
0h1m9	film__actor__film-film__performance__film	0bdjd	-1	1	-1	1
0154j	olympics__olympic_participating_country__medals_won-olympics__olympic_medal_honor__medal	02lq67	-1	1	-1	1
01pgzn_	people__person__profession	09l65	-1	1	-1	1
09r3f	military__military_conflict__combatants-military__military_combatant_group__combatants	024pcx	-1	1	-1	1
0473q	music__artist__genre	02w4v	-1	1	-1	1
020923	education__educational_institution__students_graduates-education__education__major_field_of_study	0g26h	-1	1	-1	1
05q5t0b	award__award_category__nominees-award__award_nomination__award_nominee	03wh8pq	-1	1	-1	1
0bczgm	award__award_winner__awards_won-award__award_honor__award_winner	04zkj5	-1	1	-1	1
0dwt5	music__performance_role__regular_performances-music__group_membership__role	07gql	-1	1	-1	1
05p553	tv__tv_genre__programs	02q_x_l	-1	1	-1	1
07swvb	award__award_nominee__award_nominations-award__award_nomination__award	0cc8l6d	-1	1	-1	1
05b4w	olympics__olympic_participating_country__olympics_participated_in	0kbws	-1	1	-1	1
09c7w0	location__country__second_level_divisions	0mn9x	-1	1	-1	1
01pcj4	education__educational_institution__students_graduates-education__education__student	018fmr	-1	1	-1	1
017r2	influence__influence_node__peers-influence__peer_relationship__peers	047g6	-1	1	-1	1
0fc_9	location__statistical_region__rent50_2-measurement_unit__dated_money_value__currency	09nqf	-1	1	-1	1
0knhk	music__musical_group__member-music__group_membership__role	0cfdd	-1	1	-1	1
06mnr	education__field_of_study__students_majoring-education__education__institution	05zjtn4	-1	1	-1	1
01693z	music__artist__track_contributions-music__track_contribution__role	042v_gx	-1	1	-1	1
080dyk	sports__pro_athlete__teams-sports__sports_team_roster__team	0199gx	-1	1	-1	1
0qmfk	award__award_winning_work__awards_won-award__award_honor__award	019f4v	-1	1	-1	1
01hhyb	location__location__containedby	0l2xl	-1	1	-1	1
01_njt	award__award_winner__awards_won-award__award_honor__award_winner	030znt	-1	1	-1	1
06q5t7	people__person__profession	0dz3r	-1	1	-1	1
0571m	film__film__estimated_budget-measurement_unit__dated_money_value__currency	01nv4h	-1	1	-1	1
016tw3	film__film_distributor__films_distributed-film__film_film_distributor_relationship__film	04q24zv	-1	1	-1	1
01304j	music__artist__label	011k1h	-1	1	-1	1
05r5c	music__instrument__instrumentalists	01vsy3q	-1	1	-1	1
