source	relation	target	gt	type	AllYes	AllNo	AllRandom
baseball_coach_1	has_instance	pitching_coach_1	1	P	1.0	0.0	0.52
tineola_bisselliella_1	type_of	clothes_moth_1	1	P	1.0	0.0	0.6
britain_1	domain_topic	glebe_house_1	1	P	1.0	0.0	0.03
aroid_1	has_instance	arum_maculatum_1	1	P	1.0	0.0	0.9
femtometer_1	type_of	metric_linear_unit_1	1	P	1.0	0.0	0.18
town_1	has_instance	redding_1	1	P	1.0	0.0	0.35
pteropogon_1	type_of	herb_1	1	P	1.0	0.0	0.52
latin_quarter_1	part_of	capital_of_france_1	1	P	1.0	0.0	0.02
section_5	has_instance	length_1	1	P	1.0	0.0	0.14
hedge_mustard_1	type_of	herb_1	1	P	1.0	0.0	0.83
intoxication_1	type_of	physiological_condition_1	1	P	1.0	0.0	0.82
acknowledgement_2	has_instance	credits_1	1	P	1.0	0.0	0.65
yuman_1	has_instance	hualapai_1	1	P	1.0	0.0	0.47
rock_star_1	has_instance	george_harrison_1	1	P	1.0	0.0	0.69
entireness_1	type_of	completeness_1	1	P	1.0	0.0	0.42
individualist_1	type_of	individual_1	1	P	1.0	0.0	0.75
indecision_1	type_of	doubt_3	1	P	1.0	0.0	0.86
loan_2	type_of	debt_1	1	P	1.0	0.0	0.63
impel_2	has_instance	kick_1	1	P	1.0	0.0	0.95
chromatic_2	similar_to	aureate_1	1	P	1.0	0.0	0.5
rafter_1	type_of	furnish_1	1	P	1.0	0.0	0.49
bundling_1	type_of	boxing_2	1	P	1.0	0.0	0.14
nerve_cell_1	part_of	nervous_system_1	1	P	1.0	0.0	0.33
primary_3	part_of	transformer_1	1	P	1.0	0.0	0.2
polypore_1	has_instance	nigroporus_vinosus_1	1	P	1.0	0.0	0.31
pellicularia_filamentosa_1	type_of	fungus_1	1	P	1.0	0.0	0.12
elapidae_1	member_meronym	genus_oxyuranus_1	1	P	1.0	0.0	0.3
order_torpediniformes_1	member_meronym	family_torpedinidae_1	1	P	1.0	0.0	0.1
sicilia_2	domain_topic	siege_of_syracuse_1	1	P	1.0	0.0	0.74
colubridae_1	member_meronym	elaphe_1	1	P	1.0	0.0	0.78
hmong_1	type_of	natural_language_1	1	P	1.0	0.0	0.14
everlasting_1	has_instance	cudweed_1	1	P	1.0	0.0	0.86
father_in_law_1	type_of	begetter_1	1	P	1.0	0.0	0.48
system_5	has_instance	integumentary_system_1	1	P	1.0	0.0	0.57
fuji_1	subordinate_instance_of	volcano_2	1	P	1.0	0.0	0.47
cut_in_3	type_of	break_35	1	P	1.0	0.0	0.86
partial_correlation_1	type_of	correlation_3	1	P	1.0	0.0	0.82
lepidoptera_1	member_meronym	family_lasiocampidae_1	1	P	1.0	0.0	0.72
cosmic_radiation_1	has_instance	cbr_1	1	P	1.0	0.0	0.64
hall_10	has_part	hall_1	1	P	1.0	0.0	0.24
sahaptin_2	type_of	penutian_1	1	P	1.0	0.0	0.12
gymnosperm_family_1	has_instance	bennettitaceae_1	1	P	1.0	0.0	0.07
attorney_1	has_instance	defense_attorney_1	1	P	1.0	0.0	0.14
sinkiang_1	part_of	china_1	1	P	1.0	0.0	0.63
lentil_1	part_of	lens_culinaris_1	1	P	1.0	0.0	0.51
gaea_1	subordinate_instance_of	greek_deity_1	1	P	1.0	0.0	0.12
edging_1	part_of	arras_1	1	P	1.0	0.0	0.02
art_1	has_instance	graphic_art_1	1	P	1.0	0.0	0.31
armed_forces_1	domain_region	deactivation_1	1	P	1.0	0.0	0.07
emerald_isle_1	domain_topic	ceilidh_1	1	P	1.0	0.0	0.91
feather_5	part_of	row_7	1	P	1.0	0.0	0.22
item_1	has_instance	news_item_1	1	P	1.0	0.0	0.61
demosthenes_1	subordinate_instance_of	national_leader_1	1	P	1.0	0.0	0.17
haematobia_irritans_1	type_of	fly_11	1	P	1.0	0.0	0.51
statistics_1	domain_region	regression_3	1	P	1.0	0.0	0.48
fixation_4	type_of	preservation_3	1	P	1.0	0.0	0.02
adulthood_1	has_part	forties_1	1	P	1.0	0.0	0.86
industrialist_1	has_instance	owen_1	1	P	1.0	0.0	0.16
port_5	has_instance	montego_bay_1	1	P	1.0	0.0	0.99
ellas_1	domain_topic	battle_of_leuctra_1	1	P	1.0	0.0	0.46
sub_test_1	type_of	mental_test_1	1	P	1.0	0.0	0.83
part_7	has_instance	e_layer_1	1	P	1.0	0.0	0.12
clean_out_1	type_of	can_2	1	P	1.0	0.0	0.64
cartagena_bark_1	type_of	chinchona_1	1	P	1.0	0.0	0.34
federated_states_of_micronesia_1	has_part	marshall_islands_2	1	P	1.0	0.0	0.25
electric_healing_1	has_instance	ect_1	1	P	1.0	0.0	0.25
game_equipment_1	has_instance	billiard_table_1	1	P	1.0	0.0	0.15
anchovy_pear_1	type_of	edible_fruit_1	1	P	1.0	0.0	0.34
professional_golf_1	type_of	golf_1	1	P	1.0	0.0	0.03
penalty_2	type_of	payment_1	1	P	1.0	0.0	0.14
adelges_piceae_1	type_of	adelgid_1	1	P	1.0	0.0	0.55
close_4	type_of	approach_1	1	P	1.0	0.0	0.9
england_1	has_part	worcester_3	1	P	1.0	0.0	0.97
coyote_state_1	has_part	sioux_falls_1	1	P	1.0	0.0	0.79
hedeoma_oil_1	part_of	american_pennyroyal_1	1	P	1.0	0.0	0.1
cruiser_1	type_of	auto_1	1	P	1.0	0.0	0.2
full_general_1	has_instance	demetrius_1	1	P	1.0	0.0	0.01
air_4	domain_region	nosedive_1	1	P	1.0	0.0	0.56
holy_roman_emperor_1	type_of	emperor_1	1	P	1.0	0.0	0.98
wombat_1	type_of	marsupial_1	1	P	1.0	0.0	0.99
windscreen_1	type_of	screen_11	1	P	1.0	0.0	0.89
mixture_1	has_instance	colloid_1	1	P	1.0	0.0	0.04
family_2	has_instance	marx_brothers_1	1	P	1.0	0.0	0.88
corkwood_family_1	member_meronym	genus_leitneria_1	1	P	1.0	0.0	0.51
bauhinia_1	member_meronym	bauhinia_monandra_1	1	P	1.0	0.0	0.54
crib_3	type_of	interlingual_rendition_1	1	P	1.0	0.0	0.93
spinning_top_1	type_of	plaything_1	1	P	1.0	0.0	0.2
jump_10	type_of	drop_15	1	P	1.0	0.0	0.14
cocoa_2	has_instance	criollo_1	1	P	1.0	0.0	0.59
britain_1	domain_topic	hypermarket_1	1	P	1.0	0.0	0.8
town_1	has_instance	rochester_2	1	P	1.0	0.0	0.29
coach_3	has_part	box_7	1	P	1.0	0.0	0.79
genus_suksdorfia_1	member_meronym	suksdorfia_violaceae_1	1	P	1.0	0.0	0.85
genus_ruta_1	type_of	rosid_dicot_genus_1	1	P	1.0	0.0	0.92
facial_1	part_of	face_8	1	P	1.0	0.0	0.93
asterid_dicot_genus_1	has_instance	elephantopus_1	1	P	1.0	0.0	0.61
physical_process_1	has_instance	economic_process_1	1	P	1.0	0.0	0.76
alter_1	has_instance	customise_2	1	P	1.0	0.0	0.3
victoria_3	part_of	republic_of_zimbabwe_1	1	P	1.0	0.0	0.55
psychiatry_1	domain_region	repression_2	1	P	1.0	0.0	0.44
computer_science_1	domain_region	router_1	1	P	1.0	0.0	0.88
genus_vidua_1	type_of	bird_genus_1	1	P	1.0	0.0	0.82
mamey_1	has_part	mamey_2	1	P	1.0	0.0	0.38
dovekie_1	type_of	auk_1	1	P	1.0	0.0	0.34
carrier_2	type_of	self_propelled_vehicle_1	1	P	1.0	0.0	0.37
edible_fruit_1	has_instance	breadfruit_2	1	P	1.0	0.0	0.98
architecture_1	domain_region	arch_5	1	P	1.0	0.0	0.53
pluteus_aurantiorugosus_1	type_of	agaric_2	1	P	1.0	0.0	0.52
dissolvent_1	has_instance	hexane_1	1	P	1.0	0.0	0.55
discourse_5	has_instance	elaboration_3	1	P	1.0	0.0	0.44
rosid_dicot_family_1	has_instance	cephalotaceae_1	1	P	1.0	0.0	0.59
asterid_dicot_genus_1	has_instance	genus_nicandra_1	1	P	1.0	0.0	0.18
genus_lynx_1	type_of	mammal_genus_1	1	P	1.0	0.0	0.07
genus_tapirus_1	member_meronym	tapir_1	1	P	1.0	0.0	0.14
garment_2	has_instance	suit_6	1	P	1.0	0.0	0.35
learn_4	has_instance	audit_1	1	P	1.0	0.0	0.3
mythical_being_1	has_instance	amazon_1	1	P	1.0	0.0	0.34
genus_thujopsis_1	member_meronym	hiba_arborvitae_1	1	P	1.0	0.0	0.86
art_1	domain_region	charcoal_1	1	P	1.0	0.0	0.31
family_myrtaceae_1	member_meronym	genus_eucalyptus_1	1	P	1.0	0.0	0.59
board_4	has_part	knot_6	1	P	1.0	0.0	0.72
texas_leaguer_1	type_of	fly_13	1	P	1.0	0.0	0.84
carnal_knowledge_1	has_instance	criminal_congress_1	1	P	1.0	0.0	0.27
bucket_1	has_instance	dredging_bucket_1	1	P	1.0	0.0	0.65
genus_aspidistra_1	member_meronym	aspidistra_1	1	P	1.0	0.0	0.94
solution_1	domain_region	saltiness_3	1	P	1.0	0.0	0.57
papilionoideae_1	member_meronym	codariocalyx_1	1	P	1.0	0.0	0.9
republic_of_tajikistan_1	has_part	communism_peak_1	1	P	1.0	0.0	0.36
farm_worker_1	type_of	hand_4	1	P	1.0	0.0	0.75
extension_course_1	part_of	extension_4	1	P	1.0	0.0	0.32
slip_17	has_instance	band_4	1	P	1.0	0.0	0.35
bid_6	has_instance	takeout_2	1	P	1.0	0.0	0.38
hipline_1	type_of	line_16	1	P	1.0	0.0	0.93
create_verbally_1	type_of	create_1	1	P	1.0	0.0	0.48
fish_3	has_instance	bony_fish_1	1	P	1.0	0.0	0.42
cyclostomata_1	type_of	animal_order_1	1	P	1.0	0.0	0.51
arizona_sycamore_1	type_of	plane_tree_1	1	P	1.0	0.0	0.74
church_2	has_part	rood_screen_1	1	P	1.0	0.0	0.75
pianist_1	has_instance	charles_camille_saint_saens_1	1	P	1.0	0.0	0.07
thigh_1	has_part	femoral_biceps_1	1	P	1.0	0.0	0.56
epicanthic_fold_1	part_of	eye_1	1	P	1.0	0.0	0.16
heraldry_2	type_of	emblem_1	1	P	1.0	0.0	0.5
paper_3	has_instance	tissue_3	1	P	1.0	0.0	0.27
comprehend_2	has_instance	divine_1	1	P	1.0	0.0	0.05
boletus_1	member_meronym	boletus_zelleri_1	1	P	1.0	0.0	0.65
genus_oryzopsis_1	type_of	liliopsid_genus_1	1	P	1.0	0.0	0.26
mediterranean_1	has_part	aegean_1	1	P	1.0	0.0	0.55
pane_1	part_of	swing_door_1	1	P	1.0	0.0	0.8
electromagnetic_unit_1	has_instance	power_unit_1	1	P	1.0	0.0	0.05
arthropod_family_1	has_instance	family_limulidae_1	1	P	1.0	0.0	0.58
button_snakeroot_2	type_of	herb_1	1	P	1.0	0.0	0.95
paint_1	has_instance	charge_6	1	P	1.0	0.0	0.18
playground_1	has_instance	waikiki_1	1	P	1.0	0.0	0.23
trait_1	has_instance	earnestness_1	1	P	1.0	0.0	0.32
make_37	type_of	go_across_1	1	P	1.0	0.0	0.2
yukon_2	has_part	whitehorse_1	1	P	1.0	0.0	0.05
cancer_magister_1	has_part	dungeness_crab_1	1	P	1.0	0.0	0.66
applied_science_1	has_instance	computer_science_1	1	P	1.0	0.0	0.29
stringed_instrument_1	has_instance	chordophone_1	1	P	1.0	0.0	0.11
town_1	has_instance	gadsden_1	1	P	1.0	0.0	0.94
ground_cherry_1	has_instance	cape_gooseberry_1	1	P	1.0	0.0	0.44
phenicia_1	domain_topic	phoenician_1	1	P	1.0	0.0	0.91
elector_1	has_instance	constituent_2	1	P	1.0	0.0	0.59
termite_1	has_instance	reticulitermes_lucifugus_1	1	P	1.0	0.0	0.19
mosque_1	has_part	mihrab_2	1	P	1.0	0.0	0.59
abdomen_1	has_part	ab_3	1	P	1.0	0.0	0.41
baleen_whale_1	has_instance	balaenoptera_musculus_1	1	P	1.0	0.0	0.74
cede_2	type_of	gift_2	1	P	1.0	0.0	0.27
full_general_1	has_instance	grant_13	1	P	1.0	0.0	0.21
law_of_thermodynamics_1	has_instance	conservation_of_energy_1	1	P	1.0	0.0	0.11
talcum_2	type_of	bath_powder_1	1	P	1.0	0.0	0.48
bend_2	has_instance	crank_2	1	P	1.0	0.0	0.59
fluid_ounce_2	part_of	gill_2	1	P	1.0	0.0	0.13
atomic_number_29_1	part_of	bornite_1	1	P	1.0	0.0	0.18
oblique_1	has_instance	accusative_1	1	P	1.0	0.0	0.02
computer_display_1	type_of	crt_screen_1	1	P	1.0	0.0	0.7
penutian_2	has_instance	sahaptin_1	1	P	1.0	0.0	0.99
agriculture_2	has_part	tilling_1	1	P	1.0	0.0	0.05
chapterhouse_1	type_of	building_1	1	P	1.0	0.0	0.8
waxwing_1	type_of	oscine_1	1	P	1.0	0.0	0.75
crown_5	type_of	top_11	1	P	1.0	0.0	0.99
scaphocephaly_1	type_of	deformity_1	1	P	1.0	0.0	0.71
mass_2	has_instance	relativistic_mass_1	1	P	1.0	0.0	0.13
walnut_2	has_instance	circassian_walnut_1	1	P	1.0	0.0	0.32
evaluate_2	has_instance	ascribe_1	1	P	1.0	0.0	0.85
medical_specialty_1	domain_region	gauze_1	1	P	1.0	0.0	0.5
corner_8	has_instance	pharyngeal_recess_1	1	P	1.0	0.0	0.62
whistle_stop_tour_1	type_of	circuit_2	1	P	1.0	0.0	0.66
absinthe_1	type_of	wormwood_1	1	P	1.0	0.0	0.76
bos_1	member_meronym	ox_2	1	P	1.0	0.0	0.31
static_line_1	type_of	cord_2	1	P	1.0	0.0	0.04
carry_1	type_of	displace_3	1	P	1.0	0.0	0.09
basal_ganglion_1	part_of	corticospinal_tract_1	1	P	1.0	0.0	0.97
economic_process_1	has_instance	deflation_1	1	P	1.0	0.0	0.88
arteria_1	has_instance	alveolar_artery_1	1	P	1.0	0.0	0.56
evangelist_2	has_instance	john_2	1	P	1.0	0.0	0.48
genus_tamus_1	member_meronym	black_bindweed_1	1	P	1.0	0.0	0.51
genus_riparia_1	member_meronym	bank_martin_1	1	P	1.0	0.0	0.71
family_urticaceae_1	member_meronym	genus_parietaria_1	1	P	1.0	0.0	0.41
performance_1	has_instance	concert_1	1	P	1.0	0.0	0.69
capital_of_luxembourg_1	part_of	grand_duchy_of_luxembourg_1	1	P	1.0	0.0	0.31
crested_swift_1	type_of	apodiform_bird_1	1	P	1.0	0.0	0.46
servitude_1	type_of	bondage_2	1	P	1.0	0.0	0.15
mimeo_2	type_of	copier_1	1	P	1.0	0.0	0.05
icu_1	type_of	social_unit_1	1	P	1.0	0.0	0.53
genus_nomia_1	type_of	arthropod_genus_1	1	P	1.0	0.0	0.75
internasal_suture_1	part_of	nose_6	1	P	1.0	0.0	0.83
wind_13	has_instance	bagpipe_1	1	P	1.0	0.0	0.5
change_by_reversal_1	has_instance	alternate_3	1	P	1.0	0.0	0.19
turn_28	has_instance	left_3	1	P	1.0	0.0	0.46
disassociate_1	type_of	break_14	1	P	1.0	0.0	0.79
boat_1	has_instance	small_boat_1	1	P	1.0	0.0	0.04
externalise_1	type_of	ascribe_1	1	P	1.0	0.0	0.34
lepidoptera_1	member_meronym	danaidae_1	1	P	1.0	0.0	0.78
mao_2	subordinate_instance_of	revolutionary_1	1	P	1.0	0.0	0.96
pilgrim_s_journey_1	has_instance	hadj_1	1	P	1.0	0.0	0.38
agaricus_campestris_1	type_of	agaric_2	1	P	1.0	0.0	0.1
decouple_1	type_of	disconnect_2	1	P	1.0	0.0	0.17
genus_metasequoia_1	type_of	gymnosperm_genus_1	1	P	1.0	0.0	0.12
bone_1	has_part	coronoid_process_1	1	P	1.0	0.0	0.94
europe_1	has_part	roman_empire_1	1	P	1.0	0.0	0.05
animal_skin_1	has_instance	lambskin_2	1	P	1.0	0.0	0.64
herb_2	has_instance	hyssop_2	1	P	1.0	0.0	0.93
hominoidea_1	type_of	class_8	1	P	1.0	0.0	0.12
farm_animal_1	type_of	eutherian_1	1	P	1.0	0.0	0.09
alter_1	has_instance	barb_1	1	P	1.0	0.0	0.66
order_rodentia_1	member_meronym	gnawer_1	1	P	1.0	0.0	0.8
conservationist_1	type_of	crusader_1	1	P	1.0	0.0	0.35
cobia_1	type_of	percoid_1	1	P	1.0	0.0	0.21
doubt_3	has_instance	indecision_1	1	P	1.0	0.0	0.11
block_14	has_instance	breech_closer_1	1	P	1.0	0.0	0.94
dravidian_1	has_instance	kota_1	1	P	1.0	0.0	0.65
gill_1	type_of	plant_organ_1	1	P	1.0	0.0	0.95
factor_4	has_instance	constant_of_proportionality_1	1	P	1.0	0.0	0.38
account_3	has_instance	communique_1	1	P	1.0	0.0	0.18
shimmy_1	type_of	vibrate_1	1	P	1.0	0.0	0.46
c_4	part_of	ribonucleic_acid_1	1	P	1.0	0.0	0.86
departure_1	has_instance	disappearance_1	1	P	1.0	0.0	0.48
dicot_family_1	has_instance	family_myrtaceae_1	1	P	1.0	0.0	0.69
crow_1	type_of	blow_5	1	P	1.0	0.0	0.99
church_of_rome_1	domain_region	college_of_cardinals_1	1	P	1.0	0.0	0.79
rasterize_1	type_of	convert_1	1	P	1.0	0.0	0.72
change_1	has_instance	change_state_1	1	P	1.0	0.0	0.03
tip_1	type_of	walk_1	1	P	1.0	0.0	0.09
television_3	has_part	monitor_4	1	P	1.0	0.0	0.06
white_camas_1	type_of	death_camas_1	1	P	1.0	0.0	0.0
class_8	has_instance	homobasidiomycetes_1	1	P	1.0	0.0	0.3
milwaukee_1	part_of	badger_state_1	1	P	1.0	0.0	0.2
arenga_pinnata_1	type_of	sago_palm_1	1	P	1.0	0.0	0.89
interloper_1	has_instance	pusher_1	1	P	1.0	0.0	0.11
shift_19	has_instance	graveyard_shift_1	1	P	1.0	0.0	0.77
city_1	has_instance	leipzig_1	1	P	1.0	0.0	0.81
operation_5	domain_region	freeze_7	1	P	1.0	0.0	0.7
mountain_peak_1	has_instance	chimborazo_1	1	P	1.0	0.0	0.24
family_pelobatidae_1	member_meronym	genus_scaphiopus_1	1	P	1.0	0.0	0.05
cell_1	type_of	animate_thing_1	1	P	1.0	0.0	0.96
turkestan_1	subordinate_instance_of	geographic_area_1	1	P	1.0	0.0	0.68
alphabetic_character_1	has_instance	gamma_1	1	P	1.0	0.0	0.86
national_capital_1	has_instance	bagdad_1	1	P	1.0	0.0	0.52
board_9	type_of	table_4	1	P	1.0	0.0	0.01
arthropod_genus_1	has_instance	genus_phalangium_1	1	P	1.0	0.0	0.64
genus_gloxinia_1	type_of	asterid_dicot_genus_1	1	P	1.0	0.0	0.75
chemist_1	has_instance	curie_1	1	P	1.0	0.0	0.58
asian_country_1	has_instance	koweit_2	1	P	1.0	0.0	0.16
millimeter_1	part_of	centimeter_1	1	P	1.0	0.0	0.04
pattern_10	has_part	lobe_1	1	P	1.0	0.0	0.23
genus_pituophis_1	member_meronym	bull_snake_1	1	P	1.0	0.0	0.49
creation_1	has_instance	art_1	1	P	1.0	0.0	0.24
salt_3	has_instance	sodium_bichromate_1	1	P	1.0	0.0	0.25
arecaceae_1	member_meronym	genus_calamus_1	1	P	1.0	0.0	0.26
official_2	type_of	adjudicator_1	1	P	1.0	0.0	0.59
award_1	has_instance	bestow_1	1	P	1.0	0.0	0.21
law_3	has_instance	principle_of_relativity_1	1	P	1.0	0.0	0.71
