technique	threshold	relation	metric	value
50changed	-1	user__jg__default_domain__olympic_games__sports	MRR	nan
50changed	-1	user__jg__default_domain__olympic_games__sports	MAP	nan
50changed	-1	people__person__ethnicity	MRR	1.0
50changed	-1	people__person__ethnicity	MAP	1.0
50changed	-1	music__group_member__membership-music__group_membership__role	MRR	1.0
50changed	-1	music__group_member__membership-music__group_membership__role	MAP	1.0
50changed	-1	location__country__administrative_divisions	MRR	nan
50changed	-1	location__country__administrative_divisions	MAP	nan
50changed	-1	location__statistical_region__rent50_2-measurement_unit__dated_money_value__currency	MRR	nan
50changed	-1	location__statistical_region__rent50_2-measurement_unit__dated_money_value__currency	MAP	nan
50changed	-1	music__artist__genre	MRR	1.0
50changed	-1	music__artist__genre	MAP	1.0
50changed	-1	business__business_operation__industry	MRR	1.0
50changed	-1	business__business_operation__industry	MAP	1.0
50changed	-1	food__diet_follower__follows_diet	MRR	1.0
50changed	-1	food__diet_follower__follows_diet	MAP	1.0
50changed	-1	location__country__second_level_divisions	MRR	nan
50changed	-1	location__country__second_level_divisions	MAP	nan
50changed	-1	film__film__estimated_budget-measurement_unit__dated_money_value__currency	MRR	nan
50changed	-1	film__film__estimated_budget-measurement_unit__dated_money_value__currency	MAP	nan
50changed	-1	location__hud_foreclosure_area__estimated_number_of_mortgages-measurement_unit__dated_integer__source	MRR	1.0
50changed	-1	location__hud_foreclosure_area__estimated_number_of_mortgages-measurement_unit__dated_integer__source	MAP	1.0
50changed	-1	organization__membership_organization__members-organization__organization_membership__member	MRR	1.0
50changed	-1	organization__membership_organization__members-organization__organization_membership__member	MAP	1.0
50changed	-1	olympics__olympic_sport__athletes-olympics__olympic_athlete_affiliation__country	MRR	1.0
50changed	-1	olympics__olympic_sport__athletes-olympics__olympic_athlete_affiliation__country	MAP	1.0
50changed	-1	people__person__spouse_s-people__marriage__type_of_union	MRR	1.0
50changed	-1	people__person__spouse_s-people__marriage__type_of_union	MAP	1.0
50changed	-1	education__educational_institution__students_graduates-education__education__major_field_of_study	MRR	nan
50changed	-1	education__educational_institution__students_graduates-education__education__major_field_of_study	MAP	nan
50changed	-1	award__award_winner__awards_won-award__award_honor__award	MRR	nan
50changed	-1	award__award_winner__awards_won-award__award_honor__award	MAP	nan
50changed	-1	award__award_nominee__award_nominations-award__award_nomination__award	MRR	1.0
50changed	-1	award__award_nominee__award_nominations-award__award_nomination__award	MAP	1.0
50changed	-1	celebrities__celebrity__sexual_orientation-celebrities__sexual_orientation_phase__sexual_orientation	MRR	nan
50changed	-1	celebrities__celebrity__sexual_orientation-celebrities__sexual_orientation_phase__sexual_orientation	MAP	nan
50changed	-1	language__language_writing_system__languages	MRR	nan
50changed	-1	language__language_writing_system__languages	MAP	nan
50changed	-1	tv__tv_actor__starring_roles-tv__regular_tv_appearance__series	MRR	1.0
50changed	-1	tv__tv_actor__starring_roles-tv__regular_tv_appearance__series	MAP	1.0
50changed	-1	film__film_location__featured_in_films	MRR	nan
50changed	-1	film__film_location__featured_in_films	MAP	nan
50changed	-1	music__group_member__instruments_played	MRR	1.0
50changed	-1	music__group_member__instruments_played	MAP	1.0
50changed	-1	location__location__people_born_here	MRR	1.0
50changed	-1	location__location__people_born_here	MAP	1.0
50changed	-1	business__company_type__companies_of_this_type	MRR	nan
50changed	-1	business__company_type__companies_of_this_type	MAP	nan
50changed	-1	music__performance_role__regular_performances-music__group_membership__role	MRR	nan
50changed	-1	music__performance_role__regular_performances-music__group_membership__role	MAP	nan
50changed	-1	film__film__runtime-film__film_cut__film_release_region	MRR	nan
50changed	-1	film__film__runtime-film__film_cut__film_release_region	MAP	nan
50changed	-1	common__annotation_category__annotations-common__webpage__topic	MRR	1.0
50changed	-1	common__annotation_category__annotations-common__webpage__topic	MAP	1.0
50changed	-1	people__person__profession	MRR	1.0
50changed	-1	people__person__profession	MAP	1.0
50changed	-1	film__film_festival_event__films	MRR	1.0
50changed	-1	film__film_festival_event__films	MAP	1.0
50changed	-1	people__place_of_interment__interred_here	MRR	nan
50changed	-1	people__place_of_interment__interred_here	MAP	nan
50changed	-1	media_common__netflix_genre__titles	MRR	1.0
50changed	-1	media_common__netflix_genre__titles	MAP	1.0
50changed	-1	music__genre__artists	MRR	nan
50changed	-1	music__genre__artists	MAP	nan
50changed	-1	base__aareas__schema__administrative_area__administrative_parent	MRR	nan
50changed	-1	base__aareas__schema__administrative_area__administrative_parent	MAP	nan
50changed	-1	tv__special_tv_performance_type__starring_performances-tv__regular_tv_appearance__actor	MRR	1.0
50changed	-1	tv__special_tv_performance_type__starring_performances-tv__regular_tv_appearance__actor	MAP	1.0
50changed	-1	people__person__places_lived-people__place_lived__location	MRR	1.0
50changed	-1	people__person__places_lived-people__place_lived__location	MAP	1.0
50changed	-1	film__film__other_crew-film__film_crew_gig__film_crew_role	MRR	1.0
50changed	-1	film__film__other_crew-film__film_crew_gig__film_crew_role	MAP	1.0
50changed	-1	education__educational_degree__people_with_this_degree-education__education__institution	MRR	nan
50changed	-1	education__educational_degree__people_with_this_degree-education__education__institution	MAP	nan
50changed	-1	education__educational_institution__students_graduates-education__education__student	MRR	nan
50changed	-1	education__educational_institution__students_graduates-education__education__student	MAP	nan
50changed	-1	award__award_nominated_work__award_nominations-award__award_nomination__award	MRR	1.0
50changed	-1	award__award_nominated_work__award_nominations-award__award_nomination__award	MAP	1.0
50changed	-1	people__cause_of_death__people	MRR	nan
50changed	-1	people__cause_of_death__people	MAP	nan
50changed	-1	base__popstra__celebrity__dated-base__popstra__dated__participant	MRR	1.0
50changed	-1	base__popstra__celebrity__dated-base__popstra__dated__participant	MAP	1.0
50changed	-1	location__location__containedby	MRR	1.0
50changed	-1	location__location__containedby	MAP	1.0
50changed	-1	film__production_company__films	MRR	nan
50changed	-1	film__production_company__films	MAP	nan
50changed	-1	film__film_casting_director__films_casting_directed	MRR	1.0
50changed	-1	film__film_casting_director__films_casting_directed	MAP	1.0
50changed	-1	award__award_ceremony__awards_presented-award__award_honor__honored_for	MRR	1.0
50changed	-1	award__award_ceremony__awards_presented-award__award_honor__honored_for	MAP	1.0
50changed	-1	music__instrument__variation	MRR	1.0
50changed	-1	music__instrument__variation	MAP	1.0
50changed	-1	award__award_nominee__award_nominations-award__award_nomination__award_nominee	MRR	1.0
50changed	-1	award__award_nominee__award_nominations-award__award_nomination__award_nominee	MAP	1.0
50changed	-1	award__award_winner__awards_won-award__award_honor__ceremony	MRR	1.0
50changed	-1	award__award_winner__awards_won-award__award_honor__ceremony	MAP	1.0
50changed	-1	film__film_job__films_with_this_crew_job-film__film_crew_gig__film	MRR	1.0
50changed	-1	film__film_job__films_with_this_crew_job-film__film_crew_gig__film	MAP	1.0
50changed	-1	sports__pro_athlete__teams-sports__sports_team_roster__team	MRR	1.0
50changed	-1	sports__pro_athlete__teams-sports__sports_team_roster__team	MAP	1.0
50changed	-1	film__film__film_set_decoration_by	MRR	1.0
50changed	-1	film__film__film_set_decoration_by	MAP	1.0
50changed	-1	award__award_category__nominees-award__award_nomination__nominated_for	MRR	1.0
50changed	-1	award__award_category__nominees-award__award_nomination__nominated_for	MAP	1.0
50changed	-1	tv__tv_program__genre	MRR	nan
50changed	-1	tv__tv_program__genre	MAP	nan
50changed	-1	media_common__netflix_title__netflix_genres	MRR	0.8333333333333333
50changed	-1	media_common__netflix_title__netflix_genres	MAP	0.75
50changed	-1	award__award_ceremony__awards_presented-award__award_honor__award_winner	MRR	nan
50changed	-1	award__award_ceremony__awards_presented-award__award_honor__award_winner	MAP	nan
50changed	-1	base__locations__continents__countries_within	MRR	nan
50changed	-1	base__locations__continents__countries_within	MAP	nan
50changed	-1	geography__island__body_of_water	MRR	1.0
50changed	-1	geography__island__body_of_water	MAP	1.0
50changed	-1	sports__sports_position__players-soccer__football_roster_position__team	MRR	1.0
50changed	-1	sports__sports_position__players-soccer__football_roster_position__team	MAP	1.0
50changed	-1	award__award_winner__awards_won-award__award_honor__award_winner	MRR	1.0
50changed	-1	award__award_winner__awards_won-award__award_honor__award_winner	MAP	1.0
50changed	-1	base__eating__diets__people_who_follow_this_diet	MRR	1.0
50changed	-1	base__eating__diets__people_who_follow_this_diet	MAP	1.0
50changed	-1	organization__organization__headquarters-location__mailing_address__state_province_region	MRR	nan
50changed	-1	organization__organization__headquarters-location__mailing_address__state_province_region	MAP	nan
50changed	-1	basketball__basketball_team__roster-basketball__basketball_roster_position__position	MRR	1.0
50changed	-1	basketball__basketball_team__roster-basketball__basketball_roster_position__position	MAP	1.0
50changed	-1	media_common__dedicator__dedications-media_common__dedication__dedicated_to	MRR	1.0
50changed	-1	media_common__dedicator__dedications-media_common__dedication__dedicated_to	MAP	1.0
50changed	-1	tv__tv_program__tv_producer-tv__tv_producer_term__producer_type	MRR	1.0
50changed	-1	tv__tv_program__tv_producer-tv__tv_producer_term__producer_type	MAP	1.0
50changed	-1	common__topic__webpage-common__webpage__category	MRR	1.0
50changed	-1	common__topic__webpage-common__webpage__category	MAP	1.0
50changed	-1	tv__tv_program__regular_cast-tv__regular_tv_appearance__character	MRR	1.0
50changed	-1	tv__tv_program__regular_cast-tv__regular_tv_appearance__character	MAP	1.0
50changed	-1	food__food__nutrients-food__nutrition_fact__nutrient	MRR	1.0
50changed	-1	food__food__nutrients-food__nutrition_fact__nutrient	MAP	1.0
50changed	-1	film__film_production_designer__films_production_designed	MRR	1.0
50changed	-1	film__film_production_designer__films_production_designed	MAP	1.0
50changed	-1	sports__sports_position__players-sports__sports_team_roster__team	MRR	nan
50changed	-1	sports__sports_position__players-sports__sports_team_roster__team	MAP	nan
50changed	-1	education__field_of_study__students_majoring-education__education__institution	MRR	1.0
50changed	-1	education__field_of_study__students_majoring-education__education__institution	MAP	1.0
50changed	-1	award__award_category__winners-award__award_honor__honored_for	MRR	1.0
50changed	-1	award__award_category__winners-award__award_honor__honored_for	MAP	1.0
50changed	-1	government__political_district__representatives-government__government_position_held__legislative_sessions	MRR	1.0
50changed	-1	government__political_district__representatives-government__government_position_held__legislative_sessions	MAP	1.0
50changed	-1	symbols__name_source__namesakes	MRR	1.0
50changed	-1	symbols__name_source__namesakes	MAP	1.0
50changed	-1	music__instrument__instrumentalists	MRR	1.0
50changed	-1	music__instrument__instrumentalists	MAP	1.0
allno	-1	film__film__executive_produced_by	MRR	nan
allno	-1	film__film__executive_produced_by	MAP	nan
allno	-1	soccer__football_team__current_roster-sports__sports_team_roster__position	MRR	nan
allno	-1	soccer__football_team__current_roster-sports__sports_team_roster__position	MAP	nan
allno	-1	influence__influence_node__peers-influence__peer_relationship__peers	MRR	nan
allno	-1	influence__influence_node__peers-influence__peer_relationship__peers	MAP	nan
allno	-1	tv__tv_program__regular_cast-tv__regular_tv_appearance__actor	MRR	nan
allno	-1	tv__tv_program__regular_cast-tv__regular_tv_appearance__actor	MAP	nan
allno	-1	film__film__production_companies	MRR	1.0
allno	-1	film__film__production_companies	MAP	1.0
allno	-1	olympics__olympic_participating_country__athletes-olympics__olympic_athlete_affiliation__sport	MRR	nan
allno	-1	olympics__olympic_participating_country__athletes-olympics__olympic_athlete_affiliation__sport	MAP	nan
allno	-1	location__hud_foreclosure_area__hhuniv-measurement_unit__dated_integer__source	MRR	1.0
allno	-1	location__hud_foreclosure_area__hhuniv-measurement_unit__dated_integer__source	MAP	1.0
allno	-1	aviation__airline__hubs	MRR	1.0
allno	-1	aviation__airline__hubs	MAP	1.0
allno	-1	award__award_nominated_work__award_nominations-award__award_nomination__award_nominee	MRR	0.95
allno	-1	award__award_nominated_work__award_nominations-award__award_nomination__award_nominee	MAP	0.9
allno	-1	music__record_label__artist	MRR	1.0
allno	-1	music__record_label__artist	MAP	1.0
allno	-1	film__actor__film-film__performance__film	MRR	1.0
allno	-1	film__actor__film-film__performance__film	MAP	1.0
allno	-1	time__time_zone__locations_in_this_time_zone	MRR	1.0
allno	-1	time__time_zone__locations_in_this_time_zone	MAP	1.0
allno	-1	film__film__starring-film__performance__actor	MRR	1.0
allno	-1	film__film__starring-film__performance__actor	MAP	1.0
allno	-1	base__petbreeds__city_with_dogs__top_breeds-base__petbreeds__dog_city_relationship__dog_breed	MRR	1.0
allno	-1	base__petbreeds__city_with_dogs__top_breeds-base__petbreeds__dog_city_relationship__dog_breed	MAP	1.0
allno	-1	people__deceased_person__place_of_death	MRR	1.0
allno	-1	people__deceased_person__place_of_death	MAP	1.0
allno	-1	sports__sports_position__players-baseball__baseball_roster_position__team	MRR	1.0
allno	-1	sports__sports_position__players-baseball__baseball_roster_position__team	MAP	1.0
allno	-1	award__award_winning_work__awards_won-award__award_honor__ceremony	MRR	1.0
allno	-1	award__award_winning_work__awards_won-award__award_honor__ceremony	MAP	1.0
allno	-1	tv__tv_genre__programs	MRR	nan
allno	-1	tv__tv_genre__programs	MAP	nan
allno	-1	people__marriage_union_type__unions_of_this_type-people__marriage__spouse	MRR	nan
allno	-1	people__marriage_union_type__unions_of_this_type-people__marriage__spouse	MAP	nan
allno	-1	music__genre__parent_genre	MRR	1.0
allno	-1	music__genre__parent_genre	MAP	1.0
allno	-1	film__film_distributor__films_distributed-film__film_film_distributor_relationship__film	MRR	1.0
allno	-1	film__film_distributor__films_distributed-film__film_film_distributor_relationship__film	MAP	1.0
allno	-1	olympics__olympic_participating_country__olympics_participated_in	MRR	nan
allno	-1	olympics__olympic_participating_country__olympics_participated_in	MAP	nan
allno	-1	base__popstra__celebrity__vacations_in-base__popstra__vacation_choice__location	MRR	1.0
allno	-1	base__popstra__celebrity__vacations_in-base__popstra__vacation_choice__location	MAP	1.0
allno	-1	film__film__distributors-film__film_film_distributor_relationship__distributor	MRR	1.0
allno	-1	film__film__distributors-film__film_film_distributor_relationship__distributor	MAP	1.0
allno	-1	award__award_winner__awards_won-award__award_honor__honored_for	MRR	nan
allno	-1	award__award_winner__awards_won-award__award_honor__honored_for	MAP	nan
allno	-1	award__award_category__nominees-award__award_nomination__award_nominee	MRR	1.0
allno	-1	award__award_category__nominees-award__award_nomination__award_nominee	MAP	1.0
allno	-1	influence__influence_node__influenced_by	MRR	1.0
allno	-1	influence__influence_node__influenced_by	MAP	1.0
allno	-1	olympics__olympic_participating_country__medals_won-olympics__olympic_medal_honor__olympics	MRR	1.0
allno	-1	olympics__olympic_participating_country__medals_won-olympics__olympic_medal_honor__olympics	MAP	1.0
allno	-1	military__military_conflict__commanders-military__military_command__military_commander	MRR	1.0
allno	-1	military__military_conflict__commanders-military__military_command__military_commander	MAP	1.0
allno	-1	music__performance_role__regular_performances-music__group_membership__group	MRR	1.0
allno	-1	music__performance_role__regular_performances-music__group_membership__group	MAP	1.0
allno	-1	music__genre__subgenre	MRR	1.0
allno	-1	music__genre__subgenre	MAP	1.0
allno	-1	tv__tv_program__recurring_writers-tv__tv_program_writer_relationship__writer	MRR	1.0
allno	-1	tv__tv_program__recurring_writers-tv__tv_program_writer_relationship__writer	MAP	1.0
allno	-1	olympics__olympic_participating_country__medals_won-olympics__olympic_medal_honor__medal	MRR	nan
allno	-1	olympics__olympic_participating_country__medals_won-olympics__olympic_medal_honor__medal	MAP	nan
allno	-1	award__award_nominee__award_nominations-award__award_nomination__nominated_for	MRR	1.0
allno	-1	award__award_nominee__award_nominations-award__award_nomination__nominated_for	MAP	1.0
allno	-1	music__artist__label	MRR	1.0
allno	-1	music__artist__label	MAP	1.0
allno	-1	soccer__football_team__current_roster-soccer__football_roster_position__position	MRR	nan
allno	-1	soccer__football_team__current_roster-soccer__football_roster_position__position	MAP	nan
allno	-1	location__statistical_region__gdp_nominal-measurement_unit__dated_money_value__currency	MRR	nan
allno	-1	location__statistical_region__gdp_nominal-measurement_unit__dated_money_value__currency	MAP	nan
allno	-1	american_football__football_player__former_teams-sports__sports_team_roster__team	MRR	nan
allno	-1	american_football__football_player__former_teams-sports__sports_team_roster__team	MAP	nan
allno	-1	film__writer__film	MRR	nan
allno	-1	film__writer__film	MAP	nan
allno	-1	film__film_genre__films_in_this_genre	MRR	1.0
allno	-1	film__film_genre__films_in_this_genre	MAP	1.0
allno	-1	government__legislative_session__members-government__government_position_held__legislative_sessions	MRR	nan
allno	-1	government__legislative_session__members-government__government_position_held__legislative_sessions	MAP	nan
allno	-1	military__military_conflict__combatants-military__military_combatant_group__combatants	MRR	nan
allno	-1	military__military_conflict__combatants-military__military_combatant_group__combatants	MAP	nan
allno	-1	music__musical_group__member-music__group_membership__role	MRR	nan
allno	-1	music__musical_group__member-music__group_membership__role	MAP	nan
allno	-1	location__location__time_zones	MRR	1.0
allno	-1	location__location__time_zones	MAP	1.0
allno	-1	location__statistical_region__religions-location__religion_percentage__religion	MRR	1.0
